ḫm/ḫpš/ꞽwꜥ,0x13221
ꞽmn.tt,0x13C80 0x13222
n.t-rs.yt,0x13223 0x1421B 0x1421C 0x14219
n.t-mḥ.yt,0x13224 0x13225 0x14218
ḫꜣsw.w,0x13B40 0x13B3F 0x13226
wꜥ-m-ḥww-ꞽmn.ty,0x13227 0x14256 0x14253
wꜥ-m-ḥww-ꞽꜣb.ty,0x13228
ꜥnḏ.ty,0x134C7 0x136AD 0x13F0D 0x13229
km-wr,0x13B54 0x1322A 0x13F75
ḥsbw,0x13B3E 0x1322B
ṯb-nṯr,0x13B42 0x13B56 0x1322C
ḥḳꜣ-ꜥnḏ.w,0x1322D
ḫnt.y-ꞽꜣb.ty,0x13F12 0x1322E
ḥꜣ.t-mḥ.yt,0x13916 0x13917 0x13DD4 0x13230
bḥd.t,0x13231
smꜣ-bḥd.t,0x13232
tꜣ-sty,0x13236
wṯs-ḥr,0x13C8D 0x13C90 0x13C8E 0x13C8F 0x13237
nḫn,0x13F3F 0x13238 0x13294 0x14010 0x14011 0x14012 0x1417D
wꜣs.t,0x1391C 0x13239 0x132C6 0x14142 0x14141
nṯr.wy,0x13C8C 0x1323A 0x14056
ꞽḳr,0x13C5E 0x13D34 0x13D38 0x13D36 0x1323B
bꜣ.t,0x1323C 0x132CF
tꜣ-wr,0x1323D 0x132C4 0x14136 0x132C5 0x14137
mnw,0x136BD 0x136BE 0x1381E 0x13C85 0x13EBA 0x1323E 0x132CA 0x14147
šꜣ/stẖ/stš,0x13A44 0x13241
ḥw-n.t,0x13242
ꜣtf.t,0x13F14 0x13F1D 0x13F1C 0x13243
nḏf.t-ḫnt.t,0x13E02 0x13244
nḏf.t-pḥ.t,0x13F0F 0x13DFF 0x13F11 0x13245
wnw.t,0x138F9 0x13ABF 0x13246 0x142F8 0x142F3 0x142F4 0x142F6
ꞽnpw.t,0x13A94 0x13A95 0x13248
dwn-ꜥn.wy,0x13CAD 0x13CBC 0x13249
bw-ꞽgꜣꞽ,0x1324B
nꜥr.t-ḫnt.t,0x1324C
nꜥr.t-ph.t,0x1324D
mdnꞽ.t,0x1324E 0x1324F
pr,0x13250
pr-ꜥnḫ,0x13251
pr-ḥḏ,0x13252
pr.t-ḫrw,0x13253 0x13F4D
h,0x13254
nm,0x13BBF 0x13BBE 0x13255 0x13330 0x13331
ḥw.t,0x13DFD 0x13257 0x13F59 0x1325E 0x13F8C 0x13F56 0x133B5
ḥw.t-ꜥꜣ.t,0x1325F
nb.t-ḥw.t,0x138F1 0x138F4 0x13260 0x13F60 0x13F61
